asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Art,Painted Poles,Maree Clarke and Sonja Hodge,1992,Metal poles,-37.8157410618987,144.966836246828,Melbourne (CBD)
Monument,Eight Hour Day Memorial,Percival Ball (?),1900-1903,"Granite, bronze and gold-leaf monument with stone pedestal",-37.8071550195592,144.965588387005,Melbourne (CBD)
Art,Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185872210924,144.971784281509,Melbourne (CBD)
Monument,Australian Hellenic War Memorial,Evangelos Sakaris; RBA Architects and Conservation Consultants,2001,Granite and basalt memorial,-37.8272124550956,144.972973880253,Southbank
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219335169736,144.946938744265,Other
Art,Shoal Fly By,Cat McCleod and Michael Bellemo,2003,Sculpture,-37.8176052348949,144.945539402201,Docklands
Art,Larry LaTrobe,Pamela Irving,1992 and 1996,Bronze sculpture,-37.8155485668529,144.966892078324,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8151113421446,144.941618390681,Docklands
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8151345502614,144.941464635494,Docklands
Art,Domed Drinking Fountain,unknown,NA,Marble and granite drinking fountain,-37.8212404231762,144.970769495267,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201609405995,144.95922840946,Southbank
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8201167536871,144.959381777078,Southbank
Art,Westgarth Drinking Fountain,Alexander McDonald & Co,c. 1888,Aberdeen pink-granite and bronze drinking fountain,-37.8050913081625,144.973417274498,Melbourne (CBD)
Art,Port Phillip Monument,unknown,1941,Basalt monument,-37.8056957854241,144.907291041632,Other
Art,Bird Panels,Di Christensen and Bernice McPherson,1995,Stainless-steel panels,-37.7953526839703,144.940687314302,North Melbourne
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219107218802,144.946765134735,Other
Art,Threaded Field,Simon Perry,1999,Sculpture,-37.8155239604994,144.946828976445,Docklands
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219554500409,144.947041997573,Other
Monument,Tilly Aston Bell,Anton Hasell,1999,Bronze sculpture,-37.8253717117323,144.975900201821,Southbank
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.815142895306,144.941571658474,Docklands
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187745168339,144.974175613725,Melbourne (CBD)
Art,The Pathfinder,John Edward Robinson,1974,Bronze sculpture,-37.8220280738117,144.970355228248,Southbank
Fountain,Clayton Reserve Drinking Fountain,unknown,1935,Granite drinking fountain,-37.7956635739188,144.938934811008,West Melbourne
Art,Farnex Hercules,unknown,1780,Marble bust with granite pedestal,-37.8211093204271,144.969673137809,Southbank
Fountain,Bali Memorial,Unknown,2003,"Granite, concrete and stainless steel",-37.8024246248361,144.963256124373,Melbourne (CBD)
Fountain,Exhibition Fountain,Josef Hochgurtel,1880,Portland cement fountain,-37.805456726498,144.971368298725,Melbourne (CBD)
