base_property_id,census_year,name,business_address,industry_code,industry_desc,seating_type,number_of_seats,latitude,longitude,clue_area
108581,2023,Above and Beyond Grill and Bar,165 Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,90,-37.8109824535,144.96764384655324,Melbourne (CBD)
105315,2023,Taketori Fusion Japanese,Part Gnd & Flr1 267-271 King Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,-37.81391977565,144.95431256588506,Melbourne (CBD)
105375,2023,House Blend,"Shop 3, 280 King Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,12,-37.81349891145,144.95482420112944,Melbourne (CBD)
106022,2023,Cherry Lane Espresso,Ground 533 Little Lonsdale Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,-37.813228131121704,144.95631021025,Melbourne (CBD)
106023,2023,Mapo Grill & Bar,"Shop 4-5, 551-555 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,64,-37.81329562136028,144.95556507794998,Melbourne (CBD)
110707,2023,Sao Bar & BBQ,"Shop A, 550 Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,24,-37.81346261063083,144.95600158025002,Melbourne (CBD)
110707,2023,Pizza Monster,"Shop 3, 535 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,18,-37.81346261063083,144.95600158025002,Melbourne (CBD)
110707,2023,Gami City,"Shop G, 535 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,40,-37.81346261063083,144.95600158025002,Melbourne (CBD)
110707,2023,Guk Bab,"Shop 1, 535 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,55,-37.81346261063083,144.95600158025002,Melbourne (CBD)
105738,2023,Alien & Coco,"Shop 4, 111 Hardware Street MELBOURNE VIC 3000",4512,Takeaway Food Services,Seats - Indoor,2,-37.81240856448699,144.96053073105,Melbourne (CBD)
106017,2023,Gypsy & Pig,"Shop 3, 391 Little Lonsdale Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,10,-37.811874044517,144.9603413046,Melbourne (CBD)
105749,2023,Yuguro,Part 1-3 QV Urban Market MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,40,-37.81067861705,144.965725053002,Melbourne (CBD)
105749,2023,Sushi Jiro QV,Shop QS001 1-7 QV Square MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,12,-37.81067861705,144.965725053002,Melbourne (CBD)
