base_property_id,census_year,name,business_address,number_of_patrons,latitude,longitude,clue_area
105828,2021,Mrs Parma's,19 Little Bourke Street MELBOURNE VIC 3000,300,-37.810742859904565,144.97199016960002,Melbourne (CBD)
105308,2021,Bar Humbug,586 Little Bourke Street MELBOURNE VIC 3000,30,-37.8153887167,144.9549686385438,Melbourne (CBD)
105384,2021,Hotel Animal,204-208 King Street MELBOURNE VIC 3000,158,-37.815211851300006,144.95548344509194,Melbourne (CBD)
105679,2021,True Colour Lounge,Part Level 1 128-130 Little Bourke Street MELBOURNE VIC 3000,170,-37.810927165145536,144.96851480934998,Melbourne (CBD)
573333,2023,Icebar Melbourne,"Tenancy 15, Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000",166,-37.817777826050005,144.96994164279243,Melbourne (CBD)
105295,2023,The Q,Restaurant 509 Flinders Lane MELBOURNE VIC 3000,150,-37.81962534015,144.9568890728645,Melbourne (CBD)
103994,2023,Insignia On Flinders,502-504 Flinders Street MELBOURNE VIC 3000,200,-37.82005688946613,144.95765644665,Melbourne (CBD)
102071,2023,RU-CO,Part UprGround 121-131 Collins Street MELBOURNE VIC 3000,400,-37.81511565165,144.96980796645528,Melbourne (CBD)
108537,2023,QT Melbourne,"Basement , Gnd & Level 1-8 & 11 133 Russell Street MELBOURNE VIC 3000",885,-37.81342912795,144.96783665800314,Melbourne (CBD)
101124,2023,Bouvardia Melbourne,Level 2 169 Bourke Street MELBOURNE VIC 3000,150,-37.812947112085325,144.9685634125,Melbourne (CBD)
101109,2023,Spleen Central,41 Bourke Street MELBOURNE VIC 3000,100,-37.81193513767982,144.9720476845,Melbourne (CBD)
101116,2023,Good Heavens,Level 2 79 Bourke Street MELBOURNE VIC 3000,400,-37.81218018337256,144.97103973560002,Melbourne (CBD)
101207,2023,Stars KTV & Lounge,Level 1-4 184-186 Bourke Street MELBOURNE VIC 3000,200,-37.81267570088254,144.96768897975,Melbourne (CBD)
104659,2023,The Mill,Ground 67 Hardware Lane MELBOURNE VIC 3000,119,-37.8132346375,144.96090810025532,Melbourne (CBD)
105691,2023,Boilermaker House,209-211 Lonsdale Street MELBOURNE VIC 3000,180,-37.81143143651185,144.96626025195002,Melbourne (CBD)
109392,2023,Mesa Verde,"Unit S13, Level 6 252 Swanston Street MELBOURNE VIC 3000",175,-37.81199286335,144.965271426409,Melbourne (CBD)
102199,2023,Berlin Bar / House of Maximon,Level 1 16-20 Corrs Lane MELBOURNE VIC 3000,300,-37.811129317600006,144.96838532430027,Melbourne (CBD)
105673,2023,Bomba Tapas Bar and Rooftop,Ground & Rooftop 103 Lonsdale Street MELBOURNE VIC 3000,145,-37.81049413885108,144.96925328869995,Melbourne (CBD)
105900,2023,LONGSONG,Level 1 40-44 Little Bourke Street MELBOURNE VIC 3000,260,-37.81059080656873,144.9711821656,Melbourne (CBD)
106017,2023,La La Land,Level 1 391 Little Lonsdale Street MELBOURNE VIC 3000,175,-37.811874044517,144.9603413046,Melbourne (CBD)
105746,2023,Party World Karaoke Bar,"Shop 301, Level 3 300 Lonsdale Street MELBOURNE VIC 3000",430,-37.8109017475,144.96283887063584,Melbourne (CBD)
109302,2023,Mui Karaoke,Level 2 258 Lonsdale Street MELBOURNE VIC 3000,243,-37.81143183285,144.9643588506305,Melbourne (CBD)
106057,2023,Troika Bar,Ground 106 Little Lonsdale Street MELBOURNE VIC 3000,60,-37.80915143474398,144.96858968255,Melbourne (CBD)
103219,2023,Workshop,Level 1 413-417 Elizabeth Street MELBOURNE VIC 3000,230,-37.80918733525,144.9605217744215,Melbourne (CBD)
106142,2023,Johnny's Green Room,Rooftop 293 Lygon Street CARLTON VIC 3053,200,-37.79838895068619,144.96704168875,Carlton
106153,2023,Wolf's Lair,Rear 331-335 Lygon Street CARLTON VIC 3053,80,-37.79751105955,144.96717190181073,Carlton
106092,2023,The Balcony Shisha Bar,Level 1 143-145 Lygon Street CARLTON VIC 3053,119,-37.80378400705,144.96609762915,Carlton
103393,2023,Joe Taylor,7 Errol Street NORTH MELBOURNE VIC 3051,30,-37.8047971288,144.94901387796543,North Melbourne
