description,latitude,longitude,clue_area
Leaf Type - Dog Bowl  - Errol Street Reserve,-37.79924850919621,144.9504177251165,Parkville
Drinking Fountain - Type 1,-37.79735380762625,144.95284368062156,Parkville
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82024273028081,144.95962780503942,Southbank
Drinking fountain - Historic or Heritage Drinking Fountains - Warun Biik Park,-37.79622591094481,144.92675323715673,Kensington
Drinking Fountain - Type 1,-37.79125129687361,144.93147576642454,West Melbourne
Leaf Type - Dog Bowl  - Royal Park,-37.79166434549512,144.95175691050537,Parkville
Drinking fountain - Historic or Heritage Drinking Fountains - Shrine Gardens,-37.83249800027375,144.97285892460977,Other
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.78606714462872,144.96306993513306,Parkville
Drinking Fountain - Monument Style Type 3,-37.81840304050843,144.9788593480922,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81328717472797,144.9892411598799,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Royal Park,-37.78144167402145,144.95595472988092,Parkville
Leaf Type - Dog Bowl  - Royal Park,-37.79028778877907,144.94509842701018,North Melbourne
Leaf Type - With Bottle Refill Tap - Murchison Square,-37.80037327256486,144.97278944216202,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.814969228345504,144.9603504203926,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.8175239427856,144.96013037555608,Melbourne (CBD)
Drinking fountain - Historic or Heritage Drinking Fountains - Queen Victoria Gardens,-37.82123671455052,144.97077057669242,Southbank
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80056485451508,144.9668454274885,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81033905955521,144.9724239787079,Melbourne (CBD)
Treated Timber Drinking Fountain - JJ Holland Park,-37.7981300933256,144.9217175971122,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81243580767888,144.97368439844223,Melbourne (CBD)
Old Style Steel Drinking Fountain,-37.816927072109706,144.9837045105586,Southbank
