name,artist,art_date,address,category,latitude,longitude
Eight Hour Day Memorial,Percival Ball (?),1900-1903,"399 Russell Street, MELBOURNE",Monument,-37.8071550195592,144.965588387005
Birrarung Wilam,"Vicki Couzens, Lee Darroch and Treahna Hamm",2006,"Birrarung Marr, MELBOURNE",Art,-37.8185872210924,144.971784281509
Australian Hellenic War Memorial,Evangelos Sakaris; RBA Architects and Conservation Consultants,2001,"Kings Domain, Birdwood Ave, MELBOURNE",Monument,-37.8272124550956,144.972973880253
Blowhole,Duncan Stemler,2005,"15 Harbour Esplanade, DOCKLANDS",Art,-37.8219335169736,144.946938744265
Shoal Fly By,Cat McCleod and Michael Bellemo,2003,"125 Harbour Esplanade, DOCKLANDS",Art,-37.8176052348949,144.945539402201
Larry LaTrobe,Pamela Irving,1992 and 1996,"215 Collins Street, MELBOURNE",Art,-37.8155485668529,144.966892078324
Silence,Adrian Mauriks,2003,"45 Newquay Promenade, DOCKLANDS",Art,-37.8151113421446,144.941618390681
Silence,Adrian Mauriks,2003,"55B Newquay Promenade, DOCKLANDS",Art,-37.8151345502614,144.941464635494
Domed Drinking Fountain,unknown,NA,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.8212404231762,144.970769495267
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201609405995,144.95922840946
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8201167536871,144.959381777078
Westgarth Drinking Fountain,Alexander McDonald & Co,c. 1888,"9 Nicholson Street, CARLTON",Art,-37.8050913081625,144.973417274498
Port Phillip Monument,unknown,1941,"178 Sims Street, WEST MELBOURNE",Art,-37.8056957854241,144.907291041632
Bird Panels,Di Christensen and Bernice McPherson,1995,76 Canning Street,Art,-37.7953526839703,144.940687314302
Blowhole,Duncan Stemler,2005,"15 Harbour Esplanade, DOCKLANDS",Art,-37.8219107218802,144.946765134735
Threaded Field,Simon Perry,1999,"687 La Trobe Street, DOCKLANDS",Art,-37.8155239604994,144.946828976445
Blowhole,Duncan Stemler,2005,"13 Harbour Esplanade, DOCKLANDS",Art,-37.8219554500409,144.947041997573
Tilly Aston Bell,Anton Hasell,1999,"Kings Domain, Alexandra Avenue, MELBOURNE",Monument,-37.8253717117323,144.975900201821
Silence,Adrian Mauriks,2003,"55B Newquay Promenade, DOCKLANDS",Art,-37.815142895306,144.941571658474
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187745168339,144.974175613725
The Pathfinder,John Edward Robinson,1974,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.8220280738117,144.970355228248
Clayton Reserve Drinking Fountain,unknown,1935,"241 Macaulay Road, NORTH MELBOURNE",Fountain,-37.7956635739188,144.938934811008
Farnex Hercules,unknown,1780,"90 St Kilda Road, SOUTHBANK",Art,-37.8211093204271,144.969673137809
Bali Memorial,Unknown,2003,"Lincoln Square, Swanston Street, CARLTON",Fountain,-37.8024246248361,144.963256124373
Exhibition Fountain,Josef Hochgurtel,1880,"9 Nicholson Street, CARLTON",Fountain,-37.805456726498,144.971368298725
