trading_name,business_address,num_patrons,longitude,latitude,clue_area,capacity_category,census_year
Crowne Plaza Melbourne,Crowne Plaza 1-5 Spencer Street DOCKLANDS VIC 3008,84,144.95501736365668,-37.8226703933,Docklands,Medium (50-149),2023
Clyde Hotel,377-391 Cardigan Street CARLTON VIC 3053,239,144.9657543172,-37.797255385880234,Carlton,Large (150+),2023
Fossey's Distillery Lygon,209 Lygon Street CARLTON VIC 3053,100,144.96660123313228,-37.80041990085,Carlton,Medium (50-149),2023
Carlton Yacht Club Bar,298 Lygon Street CARLTON VIC 3053,46,144.96737628730443,-37.79998581375,Carlton,Small (< 50),2023
Epocha Restaurant,Montefiore House Exhibition Mews 49 Rathdowne Street CARLTON VIC 3053,124,144.96856221768635,-37.8057719245,Carlton,Medium (50-149),2023
Limerick Castle Hotel & Restaurant,Limerick Castle Hotel & Restaurant 161-163 Errol Street NORTH MELBOURNE VIC 3051,175,144.94963795699823,-37.8011579495,North Melbourne,Large (150+),2023
The Castle Hotel,56-58 Courtney Street NORTH MELBOURNE VIC 3051,317,144.953033796439,-37.8008983338,North Melbourne,Large (150+),2023
The Barre,100 St Kilda Road SOUTHBANK VIC 3006,300,144.9681703081,-37.82094203724495,Southbank,Large (150+),2023
P J O'Briens Irish Pub & Side Bar,"Shop 12-16, Ground 3 Southgate Avenue SOUTHBANK VIC 3006",549,144.96630308550658,-37.8207182429,Southbank,Large (150+),2023
Yarra Botanica,Part Southbank Promenade 2 Southgate Avenue SOUTHBANK VIC 3006,684,144.9642064725867,-37.82037813495,Southbank,Large (150+),2023
SHOWTIME EVENT CENTRE PTY LTD,Shop FG01 20 Convention Centre Place SOUTH WHARF VIC 3006,1036,144.95231929429832,-37.8254299844,Southbank,Large (150+),2023
Melbourne Public,11-15 Dukes Walk SOUTH WHARF VIC 3006,1000,144.95231929429832,-37.8254299844,Southbank,Large (150+),2023
The Nixon Hotel,749 Bourke Street DOCKLANDS VIC 3008,320,144.94799200433602,-37.8193808719,Docklands,Large (150+),2023
Flemington & Kensington RSL Club,RSL 25-27 Rankins Road KENSINGTON VIC 3031,90,144.93219500671228,-37.7893223473,Kensington,Medium (50-149),2023
Hyde,312 Russell Street MELBOURNE 3000,269,144.9668252164964,-37.80932654189252,Melbourne (CBD),Large (150+),2007
Musicbox  - Karaoke Bar,"Ground , 547 Elizabeth Street MELBOURNE 3000",150,144.9584782220686,-37.80538135455,North Melbourne,Large (150+),2015
Clocks At Flinders Street Station,"Shop 17,  Flinders Street MELBOURNE 3000",300,144.96577579893395,-37.8186817777,Melbourne (CBD),Large (150+),2017
Xiang Club,"Part Level 3, 206 Bourke Street MELBOURNE 3000",150,144.96687115185,-37.81267380947152,Melbourne (CBD),Large (150+),2017
Holiday Inn Melbourne On Flinders,Holiday Inn on Flinders 561-585 Flinders Lane MELBOURNE VIC 3000,100,144.95510422847929,-37.820200051650005,Melbourne (CBD),Medium (50-149),2023
Spice Market,Part LwrGround 121-131 Collins Street MELBOURNE VIC 3000,800,144.96980796645528,-37.81511565165,Melbourne (CBD),Large (150+),2023
Pulo Pool Parlour,Part LwrGround 546 Collins Street MELBOURNE VIC 3000,120,144.95584419736474,-37.81824450365,Melbourne (CBD),Medium (50-149),2023
Little Ramen Bar,369 Little Collins Street MELBOURNE VIC 3000,72,144.96268877625,-37.81601648208985,Melbourne (CBD),Medium (50-149),2023
Eva's Restaurant & Bar,Mezzanine 195 Swanston Street MELBOURNE VIC 3000,200,144.96501083586128,-37.8130993046,Melbourne (CBD),Large (150+),2023
Bard's Apothecary,24 Crossley Street MELBOURNE VIC 3000,80,144.97120960655002,-37.811383624034974,Melbourne (CBD),Medium (50-149),2023
Double Happiness Bar / New Gold Mountain,21 Liverpool Street MELBOURNE VIC 3000,100,144.97126461016583,-37.81118096195,Melbourne (CBD),Medium (50-149),2023
