trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
La Camera,"Restaurant 1-2, Mid Lvl 3 Southgate Avenue SOUTHBANK VIC 3006",Cafes and Restaurants,Seats - Indoor,230,144.96630308550658,-37.8207182429,Southbank,Large (100+ seats),FALSE,2023
Sushi N Poke,"Shop 8R, 3 Freshwater Place SOUTHBANK VIC 3006",Takeaway Food Services,Seats - Indoor,12,144.96218255388226,-37.8217150891,Southbank,Small (< 30 seats),FALSE,2023
Silks,Restaurant Crown Towers Hotel Crown Casino 8 Whiteman Street SOUTHBANK VIC 3006,Cafes and Restaurants,Seats - Indoor,170,144.95833415319856,-37.8231615915,Southbank,Large (100+ seats),FALSE,2023
McDonalds,"Shop 101, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,Seats - Indoor,75,144.95844221541506,-37.82540402895,Southbank,Medium (30-99 seats),FALSE,2023
Crown Metropol,57-91 Clarendon Street SOUTHBANK VIC 3006,Accommodation,Seats - Indoor,60,144.95844221541506,-37.82540402895,Southbank,Medium (30-99 seats),FALSE,2023
House Of Cards,Part Ground 207 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,Seats - Indoor,10,144.9611648494801,-37.8257732531,Southbank,Small (< 30 seats),FALSE,2023
Botanical Hotel,169 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,Seats - Outdoor,50,144.98169999186757,-37.83431689295,South Yarra,Medium (30-99 seats),TRUE,2023
Meerkat Manor,Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Takeaway Food Services,Seats - Outdoor,34,144.95163739897146,-37.78461248815,Parkville,Medium (30-99 seats),TRUE,2023
Gaslight Project,Part Level 3 699 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,30,144.95222688975,-37.81841172740791,Docklands,Medium (30-99 seats),FALSE,2023
Hungry Jack's,Ground 167 Spencer Street DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,52,144.95056413125002,-37.81450895670129,Docklands,Medium (30-99 seats),FALSE,2023
MEALS WITH IMPACT,46 Batmans Hill Drive DOCKLANDS VIC 3008,Cafes and Restaurants,Seats - Indoor,41,144.94949950209974,-37.8209292517,Docklands,Medium (30-99 seats),FALSE,2023
